"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Check create player","1","0","0","0","0"
"","","Check possibility to get player, that was deleted before","1","0","0","0","0"
"","","Check possibility to create player with age on bound of permissible","1","0","0","0","0"
"","","Check possibility to edit player login by existed login","0","0","1","0","0"
"","","Check possibility to delete player, that was deleted before","0","0","1","0","0"
"","","Check possibility to create player with admin permissions","1","0","0","0","0"
"","","Check possibility to get player by random generated Id","1","0","0","0","0"
"","","Check possibility to edit player Id","1","0","0","0","0"
"","","Check that created player is exist at all players list","0","0","1","0","0"
"","","Check possibility to create player with no permission","0","0","1","0","0"
"","","Check possibility to create player with login, that existed","1","0","0","0","0"
"","","Check possibility to edit player role","1","0","0","0","0"
"","","Check that player, that deleted before is not exist at all players list","0","0","1","0","0"
"","","Check get player","0","0","1","0","0"
